,Age Group,Gender,GraphAge MAE,GRAPH AGE MSE,MedAE,R2,num_sample,Unnamed: 0,AltumAge MAE,AltumAge MSE,AltumAge MedAE,dsa
0,0,M,0.19987556338310242,1.4925968647003174,0.047786787152290344,-1191.1044921875,83,0M,0.31171195743996466,4.181535069529375,0.0517880916595459,83
1,0,F,0.17344583570957184,0.408400297164917,0.05324143171310425,-113.11231994628906,68,0F,0.24933538725873716,0.7158665311139512,0.07653790712356567,68
2,0-20,M,1.7363908290863037,6.415883541107178,0.605039119720459,0.9020402431488037,34,0-20M,1.7575572450020733,6.27828474428235,0.6587588357925416,34
3,0-20,F,2.3864247798919678,14.536735534667969,1.2878899574279785,0.7866597175598145,38,0-20F,2.562427328134838,14.00191505870422,1.841041374206543,38
4,20-45,M,3.495387554168701,24.07863426208496,2.8389129638671875,0.5334909558296204,101,20-45M,3.301595899374178,26.15428908823384,2.572591781616211,101
5,20-45,F,3.937110662460327,27.53632164001465,3.387157440185547,0.5157895088195801,109,20-45F,4.05627629668905,29.3059882911709,3.378875732421875,109
6,45-55,M,3.8119261264801025,20.23679542541504,3.9040374755859375,-1.2712852954864502,24,45-55M,2.9734851519266763,15.58037683010157,2.0768871307373047,24
7,45-55,F,3.480137825012207,20.933536529541016,2.8305282592773438,-1.9539225101470947,63,45-55F,4.044874888279157,31.62825087397995,2.913421630859375,63
8,55-65,M,4.339661598205566,29.028959274291992,3.3146324157714844,-3.716226100921631,19,55-65M,5.205501957943565,40.36259137432468,4.006805419921875,19
9,55-65,F,4.848376750946045,49.876441955566406,3.2827377319335938,-4.5283122062683105,101,55-65F,4.538239326209777,49.29460878781412,3.6443405151367188,101
10,65-75,M,7.991490364074707,92.40675354003906,6.843849182128906,-10.461302757263184,16,65-75M,6.1556737422943115,48.5841542123062,6.1035919189453125,16
11,65-75,F,7.0813188552856445,76.3450927734375,6.862205505371094,-9.428070068359375,70,65-75F,4.421184737561385,49.4881774589731,2.93389892578125,70
12,75-80,M,9.057968139648438,86.91070556640625,9.057968139648438,-346.642822265625,2,75-80M,7.774993896484375,65.94265708100284,7.774993896484375,2
13,75-80,F,9.50835132598877,102.02908325195312,9.315093994140625,-44.40855026245117,18,75-80F,6.6713882022433815,55.29194497033556,6.570404052734375,18
14,80+,M,8.683929443359375,80.8593978881836,9.30010986328125,-35.96429443359375,4,80+M,6.8896636962890625,53.88948156643892,7.957099914550781,4
15,80+,F,12.520454406738281,177.29454040527344,12.00811767578125,-39.91412353515625,6,80+F,10.258811950683594,121.50568970438326,9.829116821289062,6
